pathway,padj,NES,size,leadingEdge,database,pval,ES,log2err,contrast
GOBP_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL_BY_ENDOPLASMIC_RETICULUM,0.8764310747663551,-0.8791986131743007,22,HRC;ATP1A2;GSTO1;PLN,GO:BP,0.6285779711472407,-0.2676307009595772,0.02345744453374309,Interaction
GOBP_NEGATIVE_REGULATION_OF_AMYLOID_FIBRIL_FORMATION,0.8771729450442534,-0.8630312803361043,10,PFDN2;VBP1;CLU,GO:BP,0.6318221830985915,-0.33277963517861914,0.022736817096989482,Interaction
GOBP_REGULATION_OF_AMYLOID_FIBRIL_FORMATION,0.8771729450442534,-0.8630312803361043,10,PFDN2;VBP1;CLU,GO:BP,0.6318221830985915,-0.33277963517861914,0.022736817096989482,Interaction
GOBP_RESPONSE_TO_INSULIN,0.8771729450442534,-0.913636844775869,59,EPRS1;MYO1C;ADIPOQ;SLC27A1;PRKDC;YWHAG;GSTP1;APPL1;CUL3;PRKCQ;PAK1;PRKAA1;PLN,GO:BP,0.6303108808290155,-0.22006975502335152,0.025446485861521803,Interaction
GOBP_STEM_CELL_DIFFERENTIATION,0.8771729450442534,0.8850789796771052,24,NDUFS6;OCIAD1;MAPK1;STAT3;HSPA9;RBBP7;GSK3B;RPS7;MTCH2,GO:BP,0.6318469101123596,0.2786360659138523,0.019242467475837712,Interaction
GOBP_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING_INVOLVED_IN_CARDIAC_CONDUCTION,0.8778731771260037,-0.8613590435031233,10,HRC;ATP1A2,GO:BP,0.6340228873239436,-0.3321348307828909,0.022681393639755302,Interaction
GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY,0.8778731771260037,0.8967077465953861,44,COL3A1;CAV2;PARP1;CILP;COL1A2;CAV1,GO:BP,0.6341176470588236,0.24471079774081544,0.018536313145709988,Interaction
GOBP_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL,0.8778731771260037,-0.8756435670967299,22,HRC;ATP1A2;GSTO1;PLN,GO:BP,0.6340737348294023,-0.2665485342461326,0.02331688997854036,Interaction
GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION,0.8805748557845658,0.8863013969463699,28,COL1A1;CTSG;ACTN4;HSPG2,GO:BP,0.636682447834473,0.26900198375810425,0.01910953746899177,Interaction
GOBP_POSITIVE_REGULATION_OF_CELL_GROWTH,0.8805748557845658,-0.8869625332764344,24,PLAA;MAPT;PAFAH1B1;PAK1;EIF4G1,GO:BP,0.6372503483511379,-0.264705788898884,0.023463335894760864,Interaction
GOBP_REGULATION_OF_MEMBRANE_PERMEABILITY,0.8806365736174823,0.8687553363483721,15,VDAC2;STAT3;CAMK2A;GSK3B,GO:BP,0.6382555193630112,0.3087730859716654,0.019546908641449836,Interaction
